element,image
49_54_2,0_7_1
49_55_3_0,0_8_2
49_55_4,0_8_3
49_56_4_0,0_9_3_1
49_56_5,0_9_4
49_56_6,0_9_5
49_57_7_0,0_10_6
49_58_6_0,0_11_5
49_61_3,0_14_2
49_61_5,0_14_4
49_62_6_0,0_15_5
49_63_3_0,0_16_2
49_63_7_0,0_16_6
49_63_8_0,0_16_7
15_49_13,0_36_12
27_50_11,0_25_10
15_49_20_0,0_36_19
15_50_4_0,0_37_3
15_50_7_1,0_37_6
15_50_8,0_37_7
15_50_9,0_37_8
15_51_7_0,0_38_6_0
15_51_8_0,0_38_7
27_50_12,0_25_11
27_50_13_0,0_25_12
27_51_7_0,0_26_6
27_51_8_0,0_26_7
27_51_12_0,0_26_11
27_51_13,0_26_12
27_52_7_1,0_27_6
19_50_16_0,0_33_15
27_52_14_0,0_27_13
27_52_15,0_27_14
27_53_16_0,0_28_15
27_54_8_0,0_29_7
19_50_17_0,0_33_16
13_64_10_0,0_53_9
19_51_4,0_34_3
19_51_6_0,0_34_5
19_51_8_0,0_34_7
19_51_12_0,0_34_11
15_51_14,0_38_13
15_52_6_0,0_39_5_1
15_52_7_0,0_39_6
15_52_8_0,0_39_7
15_52_10_0,0_39_9_0
19_51_16_0,0_34_15
15_52_13,0_39_12
15_53_4,0_40_3
15_53_5_0,0_40_4_2
15_53_5_2,0_40_4_1
15_53_6_0,0_40_5_0
15_53_8_1,0_40_7
19_51_17_0,0_34_16
19_52_5_0,0_35_4
19_52_11_0,0_35_10
35_58_12,0_25_11
15_53_12,0_40_11
27_54_11_0,0_29_10
27_56_12_0,0_31_11
13_64_14_0,0_53_13
27_57_8_0,0_32_7
31_49_12,0_20_11
31_50_4_0,0_21_3
31_50_6_0,0_21_5
31_51_5_0,0_22_4
31_51_6_0,0_22_5
13_65_6_1,0_54_5
31_52_5_1,0_23_4_0 + 0_23_4_1
31_52_6_0,0_23_5
13_65_7_1,0_54_6
27_57_11_0,0_32_10
27_58_5,0_33_4_1
29_50_11,0_23_10
29_51_6_0,0_24_5
31_53_10_0,0_24_9
27_58_7_1,0_33_6
31_53_11_0,0_24_10
31_54_6_0,0_25_5
27_58_8_1,0_33_7
29_51_7_0,0_24_6
29_51_11,0_24_10
29_51_12_0,0_24_11
29_52_13,0_25_12
29_52_14_0,0_25_13
29_53_7_0,0_26_6
31_54_9_0,0_25_8
31_54_11_0,0_25_10
31_55_7_0,0_26_6
31_55_12_0,0_26_11
31_55_13,0_26_12
29_53_12_0,0_26_11
29_53_15_0,0_26_14
29_54_7,0_27_6
31_56_10_0,0_27_9
35_58_13,0_25_12
35_59_7,0_26_6
35_59_8,0_26_7
35_59_12_0,0_26_11
35_59_13_0,0_26_12
31_56_14,0_27_13
35_60_7_0,0_27_6
13_65_7_3,0_54_6
13_65_8_0,0_54_7
35_60_14_0,0_27_13
29_54_10_0,0_27_9
35_60_15_0,0_27_14
29_56_11_0,0_29_10
29_57_7,0_30_6
29_57_10_0,0_30_9
29_58_4,0_31_3
29_58_6,0_31_5_0 + 0_31_5_1
29_58_14_0,0_31_13
27_58_15,0_33_14
31_56_15,0_27_14
31_57_9_0,0_28_8
31_57_16,0_28_15
31_59_10_0,0_30_9
31_60_9_0,0_31_8
31_61_4_0,0_32_3
31_61_6_0,0_32_5
31_61_8_0,0_32_7
35_61_16,0_28_15
35_62_8_0,0_29_7
31_61_14_0,0_32_13
31_61_15,0_32_14
31_62_3,0_33_2
31_62_4_1,0_33_3
31_62_5_0,0_33_4_1
31_62_5_1,0_33_4_0
31_62_8_0,0_33_7
31_62_10_0,0_33_9
19_52_18,0_35_17
31_62_15_0,0_33_14
31_63_3,0_34_2
31_63_4,0_34_3
31_63_6_0,0_34_5
31_63_7_0,0_34_6
31_63_8_0,0_34_7
31_63_9_0,0_34_8
31_63_16_0,0_34_15
31_64_5_0,0_35_4
31_64_6_0,0_35_5
31_64_7_1,0_35_6
29_58_15,0_31_14
29_59_3,0_32_2
29_59_7_1,0_32_6
29_59_11_0,0_32_10
35_64_12,0_31_11
35_65_8_0,0_32_7
35_65_11_0,0_32_10
35_66_5,0_33_4_1
35_67_4,0_34_3
35_67_6_0,0_34_5
35_67_8_0,0_34_7
19_52_19,0_35_18
35_67_12_0,0_34_11
35_68_5_0,0_35_4
35_68_11_0,0_35_10
35_71_8,0_38_7
35_72_7,0_39_6
35_73_5,0_40_4_0
35_73_6_0,0_40_5_0
35_73_6_1,0_40_5_1
35_74_5,0_41_4
37_36_2,0_1_1
37_37_3_0,0_2_2
37_42_3,0_7_2
37_43_3,0_8_2
37_43_4,0_8_3
37_44_4_0,0_9_3_1
19_53_10,0_36_9
29_59_15,0_32_14
29_59_16_0,0_32_15
29_60_4,0_33_3
29_60_8_0,0_33_7
27_58_16,0_33_15
29_60_10_0,0_33_9
27_58_17_0,0_33_16
27_59_4,0_34_3
27_59_6_1,0_34_5
27_59_8,0_34_7
19_53_20_0,0_36_19
27_59_12_0,0_34_11
27_59_16_0,0_34_15
17_68_11_0,0_53_10
17_69_7_2,0_54_6
17_69_9_1,0_54_8
17_70_8_0,0_55_7
19_20_3,0_3_2
19_21_4,0_4_3
19_26_4,0_9_3_0
19_26_5,0_9_4
19_27_4,0_10_3
19_27_5,0_10_4
19_28_6,0_11_5
19_28_7,0_11_6
19_29_8_0,0_12_7
19_34_7,0_17_6
19_34_8_0,0_17_7
19_34_9_0,0_17_8
19_35_4,0_18_3
19_54_12_0,0_37_11
29_60_17,0_33_16
27_64_10_0,0_39_9_0
27_65_4,0_40_3
27_65_5_0,0_40_4_0 + 0_40_4_2
27_65_5_1,0_40_4_2
27_65_6_0,0_40_5_0
27_65_6_1,0_40_5_1
27_65_8_0,0_40_7
27_65_12_0,0_40_11
27_66_5,0_41_4
27_66_6_0,0_41_5
27_66_7_0,0_41_6_0
29_60_18_0,0_33_17
27_66_11_0,0_41_10_0
29_61_6_2,0_34_5
27_66_11_1,0_41_10_1
27_67_6_0,0_42_5
27_67_7_0,0_42_6
29_61_9_0,0_34_8
27_59_17,0_34_16
27_60_5,0_35_4
27_60_11_0,0_35_10
17_47_17_1,0_32_16
17_48_4_0,0_33_3
17_48_5_0,0_33_4_1
17_48_8_0,0_33_7
17_48_13,0_33_12
